Date(YYYY-MM-DD),N0,N1,N2,N3,N4,P0,Power Play Mult
2026-04-18,24,25,39,46,61, 1,5
2026-04-15,13,21,27,43,45,26,5
2026-04-13,38,43,59,63,64,15,3
2026-04-11, 6,47,49,58,60, 6,2
2026-04-08, 3,16,17,42,52, 3,2
2026-04-06, 7,24,37,42,57, 5,2
2026-04-04, 3, 6,13,41,65, 1,4
2026-04-01, 4,10,11,52,64,24,3
2026-03-30, 7,11,31,41,57,20,2
2026-03-28,11,42,43,59,61,25,4
2026-03-25, 7,21,55,56,64,26,4
2026-03-23,12,18,47,56,63, 1,10
2026-03-21,12,28,36,41,59, 2,2
2026-03-18,14,18,19,21,69, 1,3
2026-03-16, 7,10,20,47,52,20,2
2026-03-14, 9,30,42,50,52,21,3
2026-03-11, 3, 6,55,58,63,12,2
2026-03-09,22,23,28,36,54,13,3
2026-03-07,17,18,30,50,68,24,3
2026-03-04, 7,14,42,47,56, 6,4
2026-03-02, 2,17,18,38,62,20,2
2026-02-28, 6,20,35,54,65,10,4
2026-02-25,50,52,54,56,64,23,2
2026-02-23, 5,11,23,29,47, 6,2
2026-02-21,27,28,36,48,49,21,4
2026-02-18, 9,33,52,64,66, 1,2
2026-02-16,16,18,19,56,58, 6,3
2026-02-14,23,43,58,60,64,24,2
2026-02-11, 6,20,33,40,48, 5,2
2026-02-09, 6,19,22,28,48,24,5
2026-02-07,25,36,42,51,58, 6,2
2026-02-04,27,29,30,37,58,15,2
2026-02-02, 3, 8,31,60,65, 4,2
2026-01-31, 2, 8,14,40,63,23,3
2026-01-28,21,35,40,46,68,11,10
2026-01-26,21,31,51,60,63,18,2
2026-01-24, 2,16,35,61,63, 5,3
2026-01-21,11,26,27,53,55,12,2
2026-01-19, 5,28,34,37,55,17,3
2026-01-17, 5, 8,27,49,57,14,4
2026-01-14, 6,24,39,43,51, 2,2
2026-01-12, 5,27,45,56,59, 4,2
2026-01-10, 5,19,21,28,64,14,3
2026-01-07,15,28,57,58,63,23,2
2026-01-05, 4,18,24,51,56,14,2
2026-01-03,18,21,40,53,60,23,3
2025-12-31,11,18,21,24,38,26,10
2025-12-29,11,19,34,48,53,21,2
2025-12-27, 5,20,34,39,62, 1,2
2025-12-24, 4,25,31,52,59,19,2
2025-12-22, 3,18,36,41,54, 7,2
2025-12-20, 4, 5,28,52,69,20,3
2025-12-17,25,33,53,62,66,17,4
2025-12-15,23,35,59,63,68, 2,4
2025-12-13, 1,28,31,57,58,16,2
2025-12-10,10,16,29,33,69,22,3
2025-12-08, 8,32,52,56,64,23,2
2025-12-06,13,14,26,28,44, 7,2
2025-12-03, 1,14,20,46,51,26,3
2025-12-01, 5,18,26,47,59, 1,3
2025-11-29,19,22,30,32,59, 1,2
2025-11-26, 7, 8,15,19,28, 3,3
2025-11-24, 8,16,26,30,58,14,2
2025-11-22,28,32,36,51,69, 2,2
2025-11-19,10,31,49,51,68,19,2
2025-11-17, 7,33,50,57,66,23,5
2025-11-15, 6, 7,12,47,53,21,4
2025-11-12,29,39,43,51,65,23,2
2025-11-10, 6,28,44,48,58,23,2
2025-11-08, 3,53,60,62,68,11,2
2025-11-05, 9,17,29,61,66,26,5
2025-11-03, 3,32,40,43,57,18,2
2025-11-01, 2,26,43,44,62,22,2